OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,GN/LS,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,GAP,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,SERIES END,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY,T & 10
SALISBURYY,D,153,4,10,R,0,10,49,0,MIDFIELD,,21,,TOM OFF,LT,,STRONG,41,Pass,,5 STEP,,R,,VERT,SIT,Incomplete,,,6,4,,CAT,,,,,7OC,134,,,,,
SALISBURYY,D,154,4,10,R,2,10,49,0,MIDFIELD,,21,,TOM OFF,LT,,STRONG,41,Pass,,5 STEP,,L,,VERT,SIT,Incomplete,,Y,4,4,,CAT,,,,,7LG,244,,I,,,
SALISBURYY,D,155,4,10,R,3,10,49,0,MIDFIELD,,21,,TOM OFF,LT,,STRONG,41,Pass,RPO,PUNCH,READ,R,,,,Rush,D,Q,,2,,CAT,,,,,,,,,,,
SALISBURYY,D,156,4,10,M,4,10,49,0,MIDFIELD,,20,,TRIPS,RT,,STRONG,41,Pass,,5 STEP,,L,,SHILO,,Incomplete,,,8,MAN FREE,,CAT,,CROSS,,INCOMPLETE,6LT,593,,,,,
SALISBURYY,D,166,4,11,M,0,10,-25,5,UPFIELD,,20,,DBLS,RT,,WEAK,22,Pass,,5 STEP,,L,,SLANT,OUT,Complete,,J,1,4,,CAT,,,,,6OC,128,,,,,
SALISBURYY,D,167,4,11,L,2,5,-30,6,UPFIELD,,20,,DBLS,RT,,STRONG,22,Pass,,5 STEP,,R,,DIG,OUT,Complete,,J,3,4,,CAT,,,,,7RG,172,,,,,
SALISBURYY,D,168,4,11,R,1,10,-36,6,UPFIELD,,20,,DBLS,LT,,STRONG,22,Pass,RPO,IZ,,R,BUB,ROCKET,SCREEN,Complete,,Z,1,6,,CAT,,,,,4LT,256,,,,,
SALISBURYY,D,169,4,11,L,2,4,-42,0,MIDFIELD,,20,,DBLS,RT,,STRONG,22,Pass,,PAP,,L,,ROCKET/GO,WHEEL/SIT,Incomplete,,J,4,2,,CAT,,,,,9OC,310,,,,,
SALISBURYY,D,170,4,11,L,3,4,-42,14,MIDFIELD,,20,,DBLS,RT,,STRONG,22,Pass,,5 STEP,,R,,SHILO,,Complete,,J,2,2,,CAT,,,,,8RG,181,,,,,
SALISBURYY,D,171,4,11,R,1,10,44,11,MIDFIELD,,20,,DBLS,LT,,STRONG,22,Pass,,5 STEP,,R,,SHILO,,Complete,,X,6,4,,CAT,,,,,1RT,463,,,,,
SALISBURYY,D,172,4,11,R,1,10,34,0,GREEN ZONE,,20,,DBLS,LT,,STRONG,22,Pass,,5 STEP,,L,,VERT,,Incomplete,,,4,4,,CAT,,,,,7LG,157,,,,,
SALISBURYY,D,173,4,11,R,2,10,33,0,GREEN ZONE,,20,,DBLS,LT,,STRONG,22,Pass,,5 STEP,,L,,SHILO,,Complete,,T,2,8,,CAT,,,,,7LT,325,,I,,,
SALISBURYY,D,174,4,11,L,3,11,34,5,GREEN ZONE,,20,,TRIPS,RT,,STRONG,41,Pass,,5 STEP,,R,,CROSS,,Incomplete,,J,5,8,,DOG,,,,,3OC,319,,,,,
SALISBURYY,D,175,4,11,L,3,6,29,0,GREEN ZONE,,20,,TRIPS,RT,,STRONG,41,Pass,,5 STEP,,L,,VERT,OUT,Incomplete,,X,5,6,,CAT,,,,,5RT,328,,,,,
SALISBURYY,D,176,4,11,L,4,6,29,0,GREEN ZONE,,20,,DBLS,RT,,STRONG,22,Pass,,5 STEP,,R,,CROSS,SIT,Incomplete,,,3,MAN FREE,,CAT,,CROSS,,,3RT,553,ROOP,,,,
WCSU,D,2,1,1,R,0,10,-34,6,UPFIELD,,10,,TRIPS,LT,,STRONG,31,Pass,,GLANCE,,R,,BUBBLE/SLANT,,Complete,,X,3,3,62TFS,OVER,,,,,5OC,119,,,,,
WCSU,D,3,1,1,R,2,4,-40,-2,MIDFIELD,,11,,TREY,LT,,WEAK,31,Run,,PUNCH,READ,R,,,,Rush,E-Alley,T,,3,,OVER,,,,,,,,,,,
WCSU,D,4,1,1,R,3,6,-38,0,UPFIELD,,11,,TOM OFF,LT,,STRONG,31,Run,,TOSS READ,READ,L,,,,Rush,D,Q,,1,,UNDER,,,,PUNT,,,,,,,
WCSU,D,6,1,1,L,0,10,41,0,MIDFIELD,,11,YOYO,WOLF OFF,LT,,WEAK,22,Pass,,PAP,IZ,R,,VERT,,Incomplete,,,9,3,62TB,OVER,,,,,6OC,209,,,,,T
WCSU,D,7,1,1,L,2,10,41,9,MIDFIELD,,11,YOYIN,FOX,RT,,QUEEN,22,Run,,IZ,BASE,L,,,,Rush,A,T,,3,,OVER,,,,,,,,I,,,
WCSU,D,8,1,1,L,3,1,32,12,GREEN ZONE,,12,HIN,SLOT STACKED,LT,,QUEEN,21,Run,,POWER,,L,,,,Rush,A,T,,1,,OVER,,,,,,,,,,,
WCSU,D,9,1,1,R,1,10,20,3,RED ZONE,,10,,TRIPS,LT,,STRONG,31,Run,,IZ,,R,,,,Rush,A,T,,1,,OVER,,,,,,,,,,,
WCSU,D,10,1,1,R,2,7,17,11,RED ZONE,,21,J ORBIT,WOLF OFF,LT,,STRONG,22,Run,,COUNTER,READ,R,,,,Rush,B,T,,2,,OVER,,,,,,,,,,,
WCSU,D,11,1,1,R,1,6,6,-2,RED ZONE,,21,Y ACROSS,WOLF OFF,RT,,STRONG,22,Run,RPO,OZ,,L,BUB,,,Rush,E-Alley,T,,0,,OVER,,,,,,,,,,,
WCSU,D,12,1,1,L,2,8,8,0,RED ZONE,,21,J RETURN,TOM OFF,RT,,STRONG,31,Pass,RPO,COUNTER,,L,BUB,BUBBLE/VERT,,Incomplete,,Y,5,3,,OVER,,,,,5RG,179,,,,,
WCSU,D,13,1,1,L,3,8,8,0,RED ZONE,,21,,WOLF OFF,RT,,WEAK,22,Pass,,3 STEP,,R,,VERT,,Incomplete,,,6,0,62AFS,OVER,,,,FIELD GOAL,6OC,107,,,,,
WCSU,D,24,1,2,M,0,10,-35,5,UPFIELD,,12,F RETURN,SLOT STACKED,LT,,KING,21,Run,,IZ,BASE,L,,,,Rush,A,T,,1,,UNDER,,,,,,,,,,,
WCSU,D,25,1,2,L,2,5,-40,0,MIDFIELD,,10,,DBLS,RT,,STRONG,22,Pass,,3 STEP,,L,,VERT HITCH,,Incomplete,,,1,1,64TBS,UNDER,,,,,6LG,109,,,,,
WCSU,D,26,1,2,L,3,5,-40,0,MIDFIELD,,21,J ORBIT,WOLF OFF,LT,,STRONG,22,Pass,,5 STEP,,R,,CROSS COMEBACK,,Incomplete,,,6,1,62AF,OVER,,,,PUNT,8OC,216,,,,,
WCSU,D,32,1,2,R,0,10,-44,6,MIDFIELD,,21,YOYIN,FOX,RT,,QUEEN,21,Run,RPO,POWER,,R,,SLANT,,Rush,A,T,,3,,OVER,,,,,,,,,,,
WCSU,D,33,1,2,M,2,4,50,29,MIDFIELD,,21,YOYIN,FOX,LT,,TRUCK,21,Run,,POWER,,L,,,,Rush,A,T,,1,,OVER,,,,,,,,,,,
WCSU,D,34,1,2,R,1,10,21,-2,RED ZONE,,11,YOYIN,FOX,LT,,QUEEN,21,Run,,IZ,BASE,R,,,,Rush,A,T,,1,,OVER,,,,,,,,,,,
WCSU,D,35,1,2,R,2,12,23,4,RED ZONE,,21,YOYIN,FOX,LT,,TRUCK,21,Run,RPO,POWER,,L,,,,Rush,A,T,,3,,OVER,,,,,,,,R,,,
WCSU,D,36,1,2,R,3,8,19,0,RED ZONE,,21,,TOM OFF,LT,,STRONG,31,Run,,Q OZ LEAD,,L,,,,Rush,E-Alley,Q,,1,,OVER,,,,FG,,,,,,,
WCSU,D,48,2,3,M,0,10,-20,4,UPFIELD,,12,FLOP,SLOT,RT,,QUEEN,21,Run,,POWER,,L,,,,Rush,A,T,,1,,OVER,,,,,,,,,,,
WCSU,D,49,2,3,M,2,6,-24,5,UPFIELD,,12,HIN,SLOT,RT,,KING,21,Run,,POWER,,R,,,,Rush,A,T,,1,,UNDER,,,,,,,,,,,
WCSU,D,50,2,3,M,3,1,-29,20,UPFIELD,,12,HIN,SLOT,RT,,KING,21,Run,RPO,POWER,,R,,,,Rush,D,T,,1,,UNDER,,,,,,,,,,,
WCSU,D,51,2,3,R,1,10,-49,30,MIDFIELD,,11,,WOLF OFF,RT,,STRONG,22,Pass,,PAP,IZ,L,,VERT,,Complete,,J,7,3,61AF,OVER,,,,,8OC,2,,,,,
WCSU,D,52,2,3,L,1,10,21,3,RED ZONE,,11,,WOLF OFF,RT,,STRONG,22,Pass,,5 STEP,,L,,VERT/SIT,WHEEL,Complete,,X,1,1,62AB,OVER,,,,,8OC,171,,,,,
WCSU,D,53,2,3,L,2,7,18,3,RED ZONE,,11,,TOM OFF,RT,,WEAK,31,Run,,IZ,,R,,,,Rush,B,T,,3,,OVER,,,,,,,,,,,
WCSU,D,54,2,3,M,3,4,15,12,RED ZONE,,11,YOYIN,FOX,LT,,QUEEN,21,Run,,POWER,,R,,,,Rush,A,T,,2,,OVER,,,,FAKE FG,,,,,,,
WCSU,D,56,2,3,L,1,3,3,2,GOALLINE,,12,,TREY,LT,,WEAK,31,Run,,PUNCH,READ,L,,,,Rush,C,Q,,1,,UNDER,,,,,,,,,,,
WCSU,D,57,2,3,L,2,1,1,1,GOALLINE,,12,HIN,SLOT,LT,,QUEEN,21,Run,,POWER,,L,,,,Rush,C,T,,1,,UNDER,,,,TD,,,,,,,
WCSU,D,70,2,4,M,0,10,-20,5,UPFIELD,,21,Y ACROSS,TOM OFF,RT,,STRONG,31,Pass,,PAP,IZ,R,,VERT,OUT,Scramble,,Q,,3,63AF,OVER,,,,,,,LA,,,,
WCSU,D,71,2,4,M,2,5,-25,0,UPFIELD,,21,Y ACROSS,TOM OFF,RT,,STRONG,31,Run,,POWER,,R,,,,Rush,A,T,,1,,OVER,,,,,,,,,,,
WCSU,D,72,2,4,M,3,5,-25,14,UPFIELD,,21,Y ACROSS,TOM OFF,RT,,STRONG,31,Pass,,SOP,,R,,VERT SIT,,Complete,,J,6,2,61TB,OVER,,,,,7RT,178,,,,,
WCSU,D,73,2,4,R,1,10,-39,6,UPFIELD,,21,,DBLS,LT,,WEAK,23,Pass,,3 STEP,,R,,SWITCH VERT,HITCH,Complete,,X,3,3,63TB,OVER,,,,,5OC,112,,,,,
WCSU,D,74,2,4,R,2,4,-45,-1,MIDFIELD,,20,,DBLS,LT,,STRONG,22,Run,,COUNTER,READ,R,,,,Rush,D,T,,1,,OVER,,,,,,,,,,,
WCSU,D,75,2,4,R,3,5,-44,0,MIDFIELD,,20,,TRIPS,LT,,STRONG,31,Pass,,5 STEP,,R,,CHAIR,VT,Incomplete,,Z,9,0,62AB,OVER,,,,PUNT,7OC,237,,,,,
WCSU,D,86,3,5,M,0,10,-35,23,UPFIELD,,21,Y ACROSS,WOLF OFF,RT,,STRONG,22,Pass,,PAP,IZ,L,,VERT,,Complete,,J,5,3,62AB,OVER,,,,,7OC,216,,,,,
WCSU,D,87,3,5,L,1,10,42,3,MIDFIELD,,21,Y ACROSS,WOLF OFF,RT,,STRONG,22,Run,,IZ,BASE,L,,,,Rush,C,T,,3,,OVER,,,,,,,,,,,
WCSU,D,88,3,5,L,2,7,39,14,MIDFIELD,,21,Y ACROSS,WOLF OFF,RT,,STRONG,22,Pass,,5 STEP,,R,,SLANT/ OUT,FADE,Complete,,X,5,1,63AFS,OVER,,,,,6RG,188,,,,,
WCSU,D,89,3,5,M,1,10,25,4,GREEN ZONE,,21,,TOM OFF,LT,,WEAK,31,Run,TRICK,REVERSE,,R,,,,Rush,,J,,3,,OVER,,,,,,,,,,,
WCSU,D,90,3,5,R,2,6,21,18,RED ZONE,,21,Y ACROSS,WOLF OFF,RT,,STRONG,22,Pass,,PAP,IZ,L,,VERT,,Complete,,J,7,1,60TB,OVER,,,,,7OC,2,,,,,
WCSU,D,91,3,5,M,0,10,3,0,GOALLINE,,21,,TOM OFF,LT,,WEAK,31,Pass,TRICK,REVERSE PASS,,R,,Q WHEEL,,Incomplete,,Q,,0,62AFS,OVER,,,,INCOMPLETE HALFTIME,,,,,,,
WCSU,D,97,3,6,L,0,10,-41,1,MIDFIELD,,21,F HOP,FOX,RT,,WAGON,21,Run,,IZ,BASE,R,,,,Rush,B,T,,3,,OVER,,,,,,,,,,,
WCSU,D,98,3,6,L,2,9,-42,13,MIDFIELD,,21,YOYO,TOM OFFF,RT,,STRONG,31,Pass,,WAGGLE,IZ,R,,COMEBACK/OUT,,Complete,,Z,6,3,62ABS,OVER,,,,,7RT,347,,R,,,
WCSU,D,99,3,6,R,1,10,45,16,MIDFIELD,,21,YOYIN,FOX,LT,,WAGON,21,Pass,,PAP,IZ,R,,VERTS,,Complete,,Y,5,3,62AFS,OVER,,,,,7OC,206,,,,,
