OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,GAP,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,GN/LS,SERIES END,PENALTY
Albright College,D,127,4,9,R,2,5,-41,UPFIELD,,21,B HIP,TREY HIP,R,,WEAK,41,Run,,OZ,TOSS,L,,,,,D,T,,HEAT,,OVER,,BLAST,-2,,
Albright College,D,128,4,9,L,3,7,-39,UPFIELD,,21,,WOLF OFF,L,,STRONG,23,Pass,,3 STEP,,,,SLIDE,,Incomplete,,Z,9,SOLO,6A3F,WOLF,,TACO,0,PUNT,
Albright College,D,131,4,10,L,0,10,25,GREEN ZONE,,21,,TREY,L,,WEAK,41,Pass,,PAP,,L,,BUB AND GO,WHEEL,Interception,,X,7,7,,OVER,DRIVE,,0,INT,
Albright College,D,148,4,11,M,0,10,-16,BACKED UP,4M,21,FLOP,FOX,R,,WAGON,21,Run,RPO,POWER,,L,,HITCHES,,,A,T,,HEAT,,OVER,,SHELL,7,,
Albright College,D,149,4,11,L,2,3,-23,UPFIELD,4M,21,FLOP,FOX,R,,WAGON,21,Run,,IZ,,R,ALT,,,,B,T,,HEAT,,OVER,,BLAST,0,FUMBLE,
Albright College,D,155,4,12,R,0,10,-26,UPFIELD,4M,21,Y JUMP,FOX,L,,QUEEN,21,Run,RPO,POWER,,R,,HITCHES,,,A,T,,HEAT,,OVER,,BLAST,3,,
Albright College,D,156,4,12,M,2,7,-29,UPFIELD,4M,21,YOYIN,FOX,R,,WAGON,21,Run,RPO,POWER,,L,,HAMMER,,,C,T,,MATCH,,OVER,,SMOKE,11,,
Albright College,D,157,4,12,L,1,10,-40,UPFIELD,4M,21,YOYIN,FOX CUT,R,,WAGON,21,Run,,IZ,,R,ALT,,,,B,T,,MATCH,,OVER,,SMOKE,14,,
Albright College,D,159,4,12,L,1,10,48,UPFIELD,4M,21,B JUMP,BONE,R,,TRUCK WEAK,11,Run,,POWER,,R,,,,,A,T,,MATCH,,OVER,,SMOKE,8,,
Albright College,D,160,4,12,L,2,2,40,UPFIELD,4M,21,YOYIN,FOX,L,YES,QUEEN,21,Run,RPO,POWER,,R,,HAMMER,,,A,T,,MATCH,,OVER,,SMOKE,2,,
Stevenson University,D,1,1,1,L,0,10,-29,UPFIELD,,11,,TREY,L,,WEAK,41,Run,,IZ,LOCK,L,,,,,A,T,,7,,OVER,DRIVE,,5,,
Stevenson University,D,2,1,1,L,2,5,-34,UPFIELD,,11,,TOM,R,,STRONG,41,Pass,,3 STEP,,,,STICK,HITCH,Scramble,,Q,,HEAT,6A2B,OVER,,BLAST,5,,
Stevenson University,D,3,1,1,L,1,10,-39,UPFIELD,,11,,FOX,R,,TRUCK,21,Pass,,PAP,,R,,CHOICE,COMEBACK,Complete,,J,5,7,,OVER,,,9,,
Stevenson University,D,4,1,1,R,2,1,-48,UPFIELD,,11,,TREY,R,,WEAK,41,Pass,RPO,IZ,LOCK,R,,WORM,,Sack,,Q,,HEAT,,OVER,,SHELL,-5,,
Stevenson University,D,5,1,1,R,3,6,-43,UPFIELD,,10,,TRIPS,L,,STRONG,41,Pass,,5 STEP,,,,CHOICE,GO,Incomplete,,X,9,7,6T3F,,,,0,PUNT,
Stevenson University,D,6,1,2,L,0,10,48,UPFIELD,,11,,WOLF,L,,WEAK,22,Run,,PUNCH,,L,,,,,A,T,,HEAT,,OVER,,BLAST,2,,
Stevenson University,D,7,1,2,L,2,8,46,UPFIELD,,11,Z JUMP,SLOT,L,,WAGON,21,Run,SCR,IZ,READ,L,Z FLAT,,,Complete,,Z,,7,,OVER,DRIVE,,-11,,
Stevenson University,D,8,1,2,L,2,19,-43,UPFIELD,,10,,DOUBLES,R,,STRONG,22,Pass,,5 STEP,,,,CURL,HASH,Complete,,J,8,7,6A2B,OVER,,,23,,
Stevenson University,D,9,1,2,M,1,10,34,GREEN ZONE,,10,,TRIPS,R,,STRONG,41,Run,,IZ,LOCK,L,BUB,,,,B,T,,TORRO,,OVER,,SHELL,5,,
Stevenson University,D,10,1,2,M,2,5,29,GREEN ZONE,,10,,DOUBLES,R,,STRONG,22,Run,,IZ,READ,L,BUB,,,,C,T,,7,,OVER,DRIVE,,7,,
Stevenson University,D,11,1,2,R,1,10,22,GREEN ZONE,,10,,TRIPS,L,,STRONG,41,Run,,IZ,LOCK,R,BUB,,,,A,Q,,7,,OVER,ABBY UNO,,5,,
Stevenson University,D,12,1,2,R,2,5,17,RED ZONE,,11,JOP,TOM HIP,L,,STRONG,41,Run,,POWER,,L,,,,,A,T,,7,,OVER,TILT DOS,,7,,
