OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,FZ,GN/LS,POST SACK,SERIES END,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,BC,GAP,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
King's College,D,168,4,19,M,,2,3,38,GREEN ZONE,0,,,,22,,BOX UND,RT,,KING,21,Run,,ISO,,R,,,,Rush,T,A,,,,OVER,,,,,,,,
King's College,D,169,4,19,M,,3,3,38,GREEN ZONE,0,,PUNT,,22,,BOX UND,LT,,QUEEN,12,Run,,BOSS,,R,,,,Rush,T,B,,,,OVER,,,,,,,,
King's College,D,178,4,20,L,,0,10,38,GREEN ZONE,4,,,,22,,BOX UND,RT,,QUEEN,12,Run,,ISO,,L,,,,Rush,T,C,,,,OVER,,,,,,,,
King's College,D,179,4,20,L,,2,6,34,GREEN ZONE,2,,,,22,,BOX UND,LT,,QUEEN,21,Run,,DUO,,R,,,,Rush,T,C,,,,OVER,,,,,,,,
King's College,D,180,4,20,L,,3,3,32,GREEN ZONE,4,,,,22,,BOX UND,LT,,I,21,Run,,DIVE,,R,,,,Rush,T,A,,,,OVER,,,,,,,,
FDU,D,2,1,1,M,,0,10,-30,UPFIELD,2,,,,21,J JET,SLOT TY,LT,,WK,22,Run,,POWER,,L,,,,Rush,T,C,,,,OVER,,,,,,,,
FDU,D,3,1,1,L,,2,8,-32,UPFIELD,2,,,,21,,PRO UND,LT,YES,I,12,Run,,POWER,,L,,,,Rush,T,B,,,,OVER,,,,,,,,
FDU,D,4,1,1,L,,3,6,-34,UPFIELD,12,,,,20,,FOX UND,RT,,I,21,Run,,ISO,,R,,,,Rush,T,A,,,,OVER,,,,,,,,
FDU,D,5,1,1,L,,1,10,-46,MIDFIELD,24,,,,20,,FOX,RT,,SPLIT,21,Pass,,5 STEP,,L,,COMEBACKS,,Complete,Z,,9,2,73B,OVER,,,7ROOP,406,ROOP,,,
FDU,D,6,1,1,R,,1,10,30,GREEN ZONE,4,,,,20,,FOX UND,LT,,I,21,Run,,ISO,,L,,,,Rush,T,B,,,,OVER,,,,,,,,
FDU,D,8,1,1,R,,3,11,31,GREEN ZONE,10,,,,21,,SLOT UND,RT,,I,21,Pass,RPO,BUBBLE,,L,BUB,BUBBLE,,Complete,J,,1,2,,OVER,,,3OC,97,,,,
FDU,D,9,1,1,L,,4,1,21,RED ZONE,3,,,,21,J JET,SLOT TY,RT,,WK,22,Pass,,NAKED,,R,,COMEBACK,,Complete,Z,,3,1,73ABS,OVER,,,10ROOP,456,ROOP,,,
