OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,FZ,GN/LS,RESULT,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,BC,GAP,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,SERIES END,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
Widener University,O,94,3,14,M,,2,9,34,GREEN ZONE,6,Complete,,10,,TRIPS,LT,,STRONG,,Pass,RPO,OZ,,L,,,,S,,,,,OVER,,,,,,,,,,
Widener University,O,95,3,14,L,,3,3,28,GREEN ZONE,2,Rush,,22T,Z JET,BOX,LT,,TRUCK,,Run,,Q ISO,CAT,R,,,,Q,A,,,,OVER,,,,,,,,,,
Widener University,O,96,3,14,L,,4,1,26,GREEN ZONE,3,Rush,,22T,Z JET,BOX,LT,,TRUCK,,Run,,Q ISO,CAT,R,,,,Q,A,,,,OVER,,,,,,,,,,
Widener University,O,97,3,14,L,,1,10,23,RED ZONE,3,Rush,,10,T JUMP,DBLS,RT,,WK,,Run,RPO,IZ,,R,,,,T,A,,,,OVER,,,,,,,,,,
Widener University,O,98,3,14,M,,2,7,20,RED ZONE,10,Complete,,10,T JUMP,DBLS,RT,,WK,,Pass,RPO,IZ,,R,,SLANTS,,J,,5,4,,OVER,,,,,5OC,212,,,,
Widener University,O,100,3,14,M,,1,15,15,RED ZONE,0,Incomplete,,10,,DBLS,RT,,STRONG,,Pass,SCR,T SLIP,,R,,T SCREEN,,,,2,4,63TF,OVER,,,,,9OC,231,,,,
Widener University,O,101,3,14,M,,2,15,15,RED ZONE,0,Incomplete,,10,,TRIPS,RT,,WK,,Pass,,5 STEP,,R,,VERTS,OUT,,,9,1,53TF,OVER,,,,,7RG,188,,,,
Widener University,O,102,3,14,M,,3,15,15,RED ZONE,0,Incomplete,,10,,DBLS,RT,,STRONG,,Pass,,5 STEP,,R,,VERTS,,,,8,2 MAN,63TB,OVER,,,,MISSED FG,7RG,244,,,,
Widener University,O,112,3,16,R,,0,10,22,RED ZONE,0,Incomplete,,11,J ACROSS,TOM,LT,,STRONG,,Pass,RPO,IZ,,R,,VERTS,BUBBLE,,,9,3,,OVER,,,,,6RT,322,,,,
Widener University,O,113,3,16,R,,2,10,22,RED ZONE,0,Rush,,11,,TOM,LT,,STRONG,,Run,,OZ,,R,,,,T,B,,,,OVER,,,,,,,,,,
Widener University,O,114,3,16,R,,3,10,22,RED ZONE,14,Incomplete,,10,,TRIPS,LT,,WK,,Pass,,5 STEP,,L,,VERTS,SLANT,,,7,1,63TB,UNDER,,,,,5LG,187,,,,
Widener University,O,115,3,16,R,,1,8,8,RED ZONE,-15,Incomplete,,10,T JUMP,DBLS,LT,,WK,,Pass,RPO,IZ,,L,,SLANTS,,,,,1,,OVER,,,,,13LOOP,525,LOOP,,+,
Widener University,O,116,3,16,R,,1,23,23,RED ZONE,15,Incomplete,,10,,TRIPS,LT,,STRONG,,Pass,,5 STEP,,L,,FLOOD,,,,7,1,63AB,OVER,,,,,7LT,332,,,,
Widener University,O,117,3,16,R,,1,8,8,RED ZONE,-2,Rush,,11,,TOM,LT,,STRONG,,Run,,PUNCH,,L,,,,T,A,,,,OVER,,,,,,,,,+,
Widener University,O,118,3,16,R,,2,10,10,RED ZONE,0,Penalty,,11,,TREY,RT,,WK,,Pass,,5 STEP,,L,,VERTS,DRAG COMEBACK,,,4,1,62AB,OVER,,,,,9LOOP,353,LOOP,,,
Widener University,O,119,3,16,R,,3,10,10,RED ZONE,0,Incomplete,,10,,DBLS,LT,,STRONG,,Pass,,5 STEP,,L,,VERTS,HITCH,,,7,1,63TF,OVER,,,,MADE FG,5LG,306,,,+,
Widener University,O,123,3,18,M,T,1,10,30,GREEN ZONE,30,TD,,11,,FOX,RT,,TRUCK,,Pass,,PAP,IZ,R,,VERTS,OUT,Z,,9,3,72TB,OVER,,,,TD,5RG,328,,,,
Widener University,O,135,4,20,L,T,1,10,-13,UPFIELD,2,Rush,,10,,DBLS,RT,,STRONG,,Run,RPO,IZ,READ,L,,,,T,C,,,,OVER,,,,,,,,,,
Widener University,O,136,4,20,L,,2,7,-15,UPFIELD,1,Rush,,10,,TRIPS,RT,,STRONG,,Run,RPO,OZ,,L,,,,T,C,,,,OVER,,,,,,,,,,
Widener University,O,137,4,20,L,,3,1,-16,UPFIELD,0,Rush,,11,,FOX,RT,,QUEEN,,Run,,Q IZ LEAD,,L,,,,Q,B,,,,OVER,,,,PUNT,,,,,,
Widener University,O,142,4,22,L,,0,10,-9,BACKED UP,0,Incomplete,,10,,TRIPS,RT,,WK,,Pass,,5 STEP,,R,,CHAIR,,,,2,1,61AF,OVER,,,,,7RG,166,,,,
Widener University,O,143,4,22,L,,2,10,-9,BACKED UP,6,Rush,,11,,WOLF,LT,,WK,,Run,,PUNCH,,R,,,,T,C,,,,OVER,,,,,,,,,,
Widener University,O,144,4,22,R,,3,4,-15,UPFIELD,9,Complete,,10,,DBLS,LT,,STRONG,,Pass,,5 STEP,,L,,COMEBACKS,VERTS,J,,5,1,61TF,OVER,,,,,8OC,250,,,,
Widener University,O,145,4,22,L,,1,10,-24,UPFIELD,2,Rush,,10,,TRIPS,RT,,WK,,Run,,IZ,READ,R,,,,T,A,,,,OVER,,,,,,,,,,
Widener University,O,146,4,22,M,,2,8,-26,UPFIELD,0,Incomplete,,10,,TRIPS,RT,,WK,,Pass,,5 STEP,,R,,COMEBACKS,VERTS,,,5,3,53TF,OVER,,,,,9LOOP,368,LOOP,,,
Widener University,O,147,4,22,M,,3,8,-26,UPFIELD,-4,Sack,,10,,DBLS,RT,,STRONG,,Pass,,5 STEP,,L,,VERTS,OUT DIG,Q,,,1,63TF,OVER,,,,PUNT,,,,,,
Widener University,O,153,4,24,L,,0,10,-35,UPFIELD,-5,Complete,,11,J JET,WOLF,LT,,STRONG,,Pass,,JET,,L,,,,S,,2,3,,OVER,,,,,5 OC,,,,,
Widener University,O,154,4,24,L,,2,15,-30,UPFIELD,-9,Sack,,11,,TRIPS,RT,,STRONG,,Pass,,5 STEP,,L,,POST OUT,,Q,,,3,63TF,OVER,,,,,,,,,,
Widener University,O,155,4,24,L,,3,24,-21,UPFIELD,37,Complete,,10,,DBLS,RT,,STRONG,,Pass,,5 STEP,,R,,VERTS,,S,,9,1,63AB,OVER,,,S,,7RG,243,,,,
Widener University,O,156,4,24,R,,1,10,42,MIDFIELD,-7,Sack,,10,,TRIPS,LT,,WK,,Pass,,5 STEP,,R,,VERTS,SLANT,Q,,,3,63AF,OVER,,,,,,,,,,
