OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,GAP,ROUTE CONCEPT,ROUTE 2,RESULT,BC,PASS ZONE,COVERAGE,DEF FRONT,PROTECTION (D),GN/LS,SERIES END,PENALTY
Lycoming,D,6,1,1,L,3,7,44,UPFIELD,,20,,FOX UND,R,,KING,31,Run,,SPRINT DRAW,,R,,A,,,,R,,,OVER,,0,FUMBLE,
Lycoming,D,7,1,2,R,0,10,-19,BACKED UP,,11,,TOM,R,,STR,41,Run,,Q SPRINT DRAW,,R,,B,,,,Q,,SOLO,OVER,,-1,,
Lycoming,D,8,1,2,R,2,11,-18,BACKED UP,,21,,PRO UND,L,,KING,31,Run,,ISO,,L,,A,,,,R,,4,OVER,,2,,
Lycoming,D,9,1,2,R,3,9,-20,UPFIELD,,11,,TOM,L,,STR,41,Pass,,SOP,,L,,,SWITCH WHEEL,,Scramble,Q,,SOLO,OVER,,5,PUNT,
Lycoming,D,10,1,3,R,0,10,-9,BACKED UP,,31,,BOX TO UND,R,,QUEEN,21,Run,,COUNTER DOWN,,R,,D,,,,R,,4,OVER,,0,,
Lycoming,D,11,1,3,R,2,10,-9,BACKED UP,,21,,PRO UND,L,,KING,31,Pass,,SOP,,L,,,STIX,,Scramble,Q,,SOLO,OVER,,0,,
Lycoming,D,12,1,3,L,3,10,-9,BACKED UP,,20,,FOX,R,,SPLIT,21,Pass,,SOP,,R,,,SMASH,,Complete,Z,,4,,,13,,
Lycoming,D,13,1,3,R,1,10,-22,UPFIELD,,21,FLOP,PRO CUT UND,L,,QUEEN,22,Pass,SCR,Z BUBBLE,,L,,,,,Complete,Z,,4,FLIP,,5,,
Lycoming,D,14,1,3,L,2,5,-27,UPFIELD,,21,,PRO UND,R,,KING,31,Run,,POWER,,R,,C,,,,R,,4,OVER,,1,,
Lycoming,D,15,1,3,R,3,4,-28,UPFIELD,,20,,FOX,L,,SPLIT,21,Pass,,SOP,,L,,,CURL,,Incomplete,J,,,OVER,,0,PUNT,
Lycoming,D,16,2,4,R,0,10,-15,BACKED UP,,11,,TOM,L,,STR,41,Pass,,5 STEP,,,,,CRUISE,GLANCE,Incomplete,J,,4,OVER,,-5,,
Lycoming,D,17,2,4,R,2,10,-15,BACKED UP,,21,,SLOT UND,R,,KING,22,Pass,SCR,Z BUBBLE,,L,,,,,Complete,Z,,4,FLIP,,5,,
Lycoming,D,18,2,4,L,3,5,-20,UPFIELD,,21,,SLOT UND,L,,QUEEN,31,Pass,,SOP,,R,,,SWITCH WHEEL,,Scramble,Q,,SOLO,OVER,,-6,PUNT,
Lycoming,D,19,2,5,M,0,10,-25,UPFIELD,,21,,SLOT UND,R,,KING,22,Run,,DOWN,,R,,C,,,,R,,4,OVER,,-1,,
Lycoming,D,20,2,5,R,2,11,-24,UPFIELD,,21,,SLOT UND,R,,QUEEN,31,Pass,SCR,Z BUBBLE,,L,,,,,Complete,Z,,4,FLIP,,3,,
Lycoming,D,21,2,5,L,3,23,-12,BACKED UP,,20,,FOX,L,,SPLIT,21,Pass,,SOP,,R,,,STIX,,Complete,Z,,4 STAY,,,12,PUNT,
Lycoming,D,22,2,6,R,0,10,-24,UPFIELD,,21,,SLOT UND,R,,QUEEN,31,Pass,,SOP,,L,,,STIX,,Complete,Z,,4,OVER,,0,,
Lycoming,D,23,2,6,R,2,10,-24,UPFIELD,,20,,FOX UND,L,,KING,31,Run,,ISO,,L,,B,,,,R,,4,OVER,,5,,
Lycoming,D,25,2,6,R,3,10,-24,UPFIELD,,20,FLOP,FOX,L,,WAGON,23,Pass,SCR,A SWG SCR WK,,R,,,,,Complete,R,,SOLO,OVER,,0,PUNT,
Lycoming,D,26,2,7,L,0,10,-36,UPFIELD,2M,11,,TOM,R,,STR,41,Pass,,SOP,,R,,,FLOOD,,Incomplete,Y,,4,OVER,,0,,
Lycoming,D,27,2,7,L,2,10,-36,UPFIELD,2M,11,,WOLF,L,,STR,23,Pass,,5 STEP,,,,,SHILO,,Complete,J,,4,OVER,,24,,
Lycoming,D,28,2,7,L,1,10,40,UPFIELD,2M,11,,WOLF SIB,R,,STR,32,Pass,,SOP,,R,,,STIX,,Incomplete,Z,,4,OVER,,0,,
Lycoming,D,29,2,7,L,2,10,40,UPFIELD,2M,11,,TOM,R,,STR,41,Pass,,SOP,,R,,,STIX UP,,Complete,J,,,OVER,,7,,
Lycoming,D,30,2,7,R,3,3,33,GREEN ZONE,2M,11,,WOLF SIB UND,L,,ACE,22,Pass,,3 STEP,,,,,DRAGON,STICK,Complete,J,,SOLO,OVER,60 DIVE,5,,
Lycoming,D,31,2,7,R,1,10,28,GREEN ZONE,2M,11,,TOM,L,,STR,41,Pass,,SOP,,L,,,CURL,,Complete,J,,4,OVER,,8,,
Lycoming,D,32,2,7,L,2,2,20,RED ZONE,2M,11,,TOM,R,,STR,41,Pass,,SOP,,R,,,SMASH,,Incomplete,Z,,4,OVER,,0,,
Lycoming,D,33,2,7,L,3,2,20,RED ZONE,2M,11,,WOLF,L,,WEAK,22,Run,,Q T LEAD,,R,,B,,,,Q,,4,OVER,,2,,
Lycoming,D,34,2,7,L,1,10,18,RED ZONE,2M,11,,TOM,R,,STR,41,Pass,,5 STEP,,,,,STICKS,BENCH,Incomplete,X,,4 DEEP,,,0,,
Lycoming,D,35,2,7,L,2,10,18,RED ZONE,2M,11,,TOM,R,,STR,41,Pass,,SOP,,R,,,SWITCH WHEEL,,Scramble,Q,,4,OVER,,6,,
Lycoming,D,36,2,7,R,3,4,12,RED ZONE,2M,11,,WOLF SIB,L,,STR,32,Pass,,5 STEP,,,,,VERTS,,Incomplete,J,,4,OVER,,0,FG,
Lycoming,D,37,3,8,L,1,10,-25,UPFIELD,,21,,SLOT,L,,QUEEN,31,Pass,,SOP,,R,,,STIX UP,,Scramble,Q,,4,OVER,,4,,
Lycoming,D,38,3,8,R,2,6,-29,UPFIELD,,21,,SLOT UND,R,,QUEEN,31,Run,,F TRAP,,R,,A,,,,R,,4,OVER,,-13,,
Lycoming,D,40,3,8,R,3,21,-11,BACKED UP,,20,,FOX,L,,TRUCK,41,Pass,,SOP,,L,,,SWITCH WHEEL,,Incomplete,Z,,4 DEEP,OVER,,9,,
Lycoming,D,41,3,8,L,1,10,-20,UPFIELD,,20,,FOX,R,,KING,31,Run,,SPRINT DRAW,,R,,A,,,,R,,4,OVER,,2,,
Lycoming,D,42,3,8,R,2,8,-22,UPFIELD,,21,,PRO CUT,R,,KING,31,Pass,,SOP,,R,,,STIX,,Complete,Y,,SOLO,OVER,,6,,
Lycoming,D,43,3,8,R,3,2,-28,UPFIELD,,31,,BOX TY UND,R,YES,KING,12,Pass,,BOOT,,L,,,STING,,Incomplete,H,,4,OVER,,0,PUNT,
Lycoming,D,44,3,9,L,0,10,-28,UPFIELD,,21,,PRO,R,,KING,31,Pass,SCR,Z BUBBLE,,R,,,,,Complete,Z,,4,OVER,,-4,,
