OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,GN/LS,SERIES END,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,GAP,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
KEYSTONE,D,147,4,11,R,T,1,10,-25,2,,UPFIELD,,10,,TRIPS CON,RT,YES,WK,32,Run,,Q COUNTER,,L,,,,Rush,C,Q,,,,,,,,,,,,,
KEYSTONE,D,148,4,11,L,,2,7,-27,6,,UPFIELD,,11,,TOM OFF,RT,,STRONG,41,Run,,IZ,,L,,,,Rush,A,T,,,,,,,,,,,,,
KEYSTONE,D,149,4,11,L,,3,3,-33,10,,UPFIELD,,11,,TOM OFF,RT,,STRONG,41,Run,,Q ISO,,R,,,,Rush,C,Q,,,,,,,,,,,,,
KEYSTONE,D,150,4,11,M,,1,10,-43,6,,MIDFIELD,,11,,TOM OFF,RT,,WK,32,Run,,OZ G,,R,,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,151,4,11,R,,2,3,-49,3,,MIDFIELD,,11,,WOLF OFF,RT,,STRONG,32,Run,,Q IZ,,R,,,,Rush,A,Q,,,,,,,,,,,,,
KEYSTONE,D,152,4,11,L,,1,10,48,18,,MIDFIELD,,20,,FOX,RT,,PISTOL KING,21,Run,RPO,IZ LEAD,,R,,,,Rush,C,T,,,,,,,,,,,,,
KEYSTONE,D,153,4,11,L,,1,10,30,26,,GREEN ZONE,,20,,FOX,RT,,PISTOL QUEEN,21,Pass,RPO,IZ LEAD,,R,,HITCH,,Complete,,Z,3,3,70AF,,,,,5OC,,,,,
KEYSTONE,D,154,4,11,R,,1,4,4,0,,GOALLINE,,11,,UNBALANCED SLOT,LT,,TRUCK,30,Pass,,SOP,,L,,CORNER/SLANT,,Incomplete,,Z,5,,REACH,,,,,5LOOP,,,,,
KEYSTONE,D,155,4,11,R,,2,4,4,1,,GOALLINE,,12,,BOX UNDER,RT,,I,21,Run,,DUO,,R,,,,Rush,C,T,,,,,,,,,,,,,
KEYSTONE,D,156,4,11,R,,3,3,3,3,TD,GOALLINE,,22,,BOX UNDER,RT,,I,21,Run,,POWER,,L,,,,Rush,D,T,,,,,,,,,,,,,
KEYSTONE,D,169,4,12,L,,1,10,-34,6,,UPFIELD,4M,11,,FOX,RT,,KING,31,Run,,OZ,,R,,,,Rush,E-Alley,T,,,,,,,,,,,,,
KEYSTONE,D,170,4,12,R,,2,4,-40,0,,MIDFIELD,4M,11,,TOM OFF,LT,,WK,32,Run,,OZ,FOLD,L,,,,Rush,E-Alley,T,,,,,,,,,,,,,
MISERICORDIA,D,2,1,1,R,,1,10,-36,44,,UPFIELD,,11,,WOLF,RT,,STRONG,23,Pass,,PAP,IZ,L,,VERTS,COMEBACK,Complete,,Z,7,3,60TB,,,,,7LG,285,,,,
MISERICORDIA,D,4,1,1,L,,1,10,20,4,,RED ZONE,,11,,TOM OFF,RT,,WK,31,Run,,IZ,BASE,R,,,,Rush,C,T,,,,CAT,,,,,,,,,
MISERICORDIA,D,5,1,1,L,,2,6,20,2,,RED ZONE,,10,,TRIPS,RT,,STRONG,31,Run,RPO,IZ,,L,,,,Rush,A,T,,,,CAT,,,,,,,,,
