OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,RESULT,GN/LS,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,BC,GAP,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,SERIES END,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
HSC,D,109,3,17,L,,1,10,30,Incomplete,0,GREEN ZONE,,,,ACE,RT,,STRONG,22,Pass,,5 STEP,,L,,OUT GO,,,,7,3,6OAFS,UNDER,,,,,7OC,291,,,,
HSC,D,110,3,17,L,,2,10,30,Rush,-2,GREEN ZONE,,11,,FOX,RT,,TRUCK,21,Run,,POWER,,R,,,,T,C,,,,,,,,,,,,,,
HSC,D,111,3,17,L,,3,12,32,Sack,-10,GREEN ZONE,,10,,TRIPS,RT,,WK,31,Pass,,5 STEP,,R,,VERTS,,,,,3,60TBS,UNDER,,,,PUNT,7OC,,,,,
HSC,D,123,3,19,L,,1,10,-19,Rush,7,UPFIELD,,11,Y ACROSS,WOLF OFF,LT,,WK,22,Run,,OZ,,L,,,,T,C,,,,,,,,,,,,,,
HSC,D,124,3,19,L,,2,3,-26,Complete,5,UPFIELD,,10,,TRIPS,RT,,STRONG,31,Pass,,5 STEP,,R,,STICKS RUB,OUT,T,,3,3,50 MAN,UNDER,,,,,7OC,212,,,,
HSC,D,125,3,19,R,,1,10,-31,Interception,0,UPFIELD,,11,YOYIN,FOX,LT,,WAGON,21,Pass,RPO,POWER,,L,,BUBBLE/SLANT,SKINNY POST,,,6,3,,UNDER,,,,INT,5OC,185,,,,
HSC,D,137,4,21,L,,1,10,-30,Rush,6,UPFIELD,,10,,TRIPS,RT,,STRONG,31,Run,,IZ,READ,L,,,,Q,C,,,,,,,,,,,,,,
HSC,D,138,4,21,L,,2,4,-36,Fumble,-16,UPFIELD,,10,,TRIPS,RT,,STRONG,31,Run,RPO,IZ,,L,,,,,,,,,,,,,,,,,,,
HSC,D,139,4,22,L,,3,20,-20,Scramble,10,UPFIELD,,10,,TRIPS,RT,,WK,31,Pass,,5 STEP,,R,,VERTS,,,,,3,60AF,UNDER,,,,PUNT,,,LB,,,
HSC,D,145,4,24,L,,1,10,-21,Rush,6,UPFIELD,,10,,TRIPS,RT,,STRONG,31,Run,,IZ,READ,L,,,,Q,C,,,,,,,,,,,,,,
HSC,D,146,4,24,M,,2,4,-27,Complete,6,UPFIELD,,10,,TRIPS,LT,,STRONG,31,Pass,,5 STEP,,R,,SLANT,COMEBACK,Z,,3,3,50TB,UNDER,,,,,5OC,159,,,,
HSC,D,147,4,24,R,,1,10,-33,Complete,-4,UPFIELD,,10,,TRIPS,LT,,STRONG,31,Pass,RPO,IZ,,R,,BUBBLE,,J,,1,3,60ABS,UNDER,,,,,6OC,125,,,,
HSC,D,148,4,24,L,,2,14,-29,Complete,5,UPFIELD,,10,,TRIPS,RT,,WK,31,Pass,,5 STEP,,R,,CHAIR,,Z,,3,3,60AF,UNDER,,,,,7OC,184,,,,
HSC,D,149,4,24,R,,3,9,-34,Scramble,11,UPFIELD,,10,,TRIPS,LT,,WK,31,Pass,,5 STEP,,L,,VERTS,OUT,,,,3,60AF,UNDER,,,,,,,RB,,,
HSC,D,150,4,24,M,,1,10,-45,Rush,2,MIDFIELD,,10,,DBLS,RT,,WK,22,Run,,IZ,READ,R,,,,T,A,,,,,,,,,,,,,,
HSC,D,151,4,24,M,,2,8,-47,Complete,9,MIDFIELD,,11,,TOM,LT,,STRONG,31,Pass,,5 STEP,,L,,VERTS,SLANT,J,,2,3,60AF,UNDER,,,,,8LG,190,,,,
HSC,D,152,4,24,L,,1,10,44,Rush,6,MIDFIELD,,11,,TOM OFF,RT,,STRONG,31,Run,,ISO,,R,,,,T,B,,,,,,,,,,,,,,
HSC,D,153,4,24,L,,2,4,38,Fumble,-6,GREEN ZONE,,10,,TRIPS,RT,,STRONG,31,Run,,IZ,READ,L,,,,,,,,,,,,,,,,,,,
HSC,D,154,4,24,L,,3,10,44,Complete,33,MIDFIELD,,10,,TRIPS,LT,YES,WK,31,Pass,,5 STEP,,R,,VERTS,,Y,,9,3,60AB,UNDER,,,,,4ROOP,425,RB,,,
HSC,D,155,4,24,R,,1,10,11,Rush,9,RED ZONE,,11,,TREY,RT,,STRONG,31,Run,,INV VEER,,R,,,,T,D,,,,,,,,,,,,,,
HSC,D,156,4,24,M,,1,1,2,Rush,1,GOALLINE,,14,,GOALLINE,,,DOT,,Run,,Q SNEAK,,R,,,,Q,A,,,,,,,,TD,,,,,,
HSC,D,164,4,26,M,,1,10,-48,Rush,1,MIDFIELD,,10,,TRIPS,RT,,STRONG,,Run,,IZ,READ,L,,,,T,B,,,,,,,,,,,,,,
HSC,D,165,4,26,L,,2,9,-49,Rush,3,MIDFIELD,,10,,TRIPS,RT,,STRONG,,Run,,IZ,READ,L,,,,T,C,,,,,,,,,,,,,,
HSC,D,166,4,26,L,,3,6,48,Rush,47,MIDFIELD,,10,,TRIPS,RT,,STRONG,,Run,,IZ,READ,L,,,,T,C,,,,UNDER,,,,TD,,,,,,
Albright College,D,6,1,1,L,,1,10,-30,Rush,1,UPFIELD,,10,,TRIPS,RT,,STRONG,31,Run,RPO,IZ,,L,,,,T,B,,,,,,,,,,,,,,
Albright College,D,7,1,1,L,,2,9,-31,Rush,1,UPFIELD,,11,,WOLF OFF,LT,,WK,22,Run,,COUNTER,READ,L,,,,T,B,,,,,,,,,,,,,,
Albright College,D,8,1,1,L,,3,8,-32,Complete,4,UPFIELD,,11,,TOM OFF,RT,,STRONG,31,Pass,,T SWING,,R,,RB SWING,,T,,2,2,,,,,,,50C,137,,,,
Albright College,D,15,1,2,R,,1,10,-39,Rush,7,UPFIELD,,20,,FOX,LT,,GUN SPLIT,21,Run,,POWER,READ,L,,,,Q,B,,,,,,,,,,,,,,
