OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,GAP,ROUTE CONCEPT,ROUTE 2,RESULT,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,GN/LS,SERIES END,PENALTY
King's College,D,154,4,12,R,1,10,50,UPFIELD,,20,,DOUBLES,LT,,WEAK,23,Pass,,5 STEP,,,,,HOOK,SHOUT,Incomplete,Z,7,SOLO,,FAR,,BLAST,0,,
King's College,D,155,4,12,R,2,10,50,UPFIELD,,20,,DOUBLES CUT,LT,,STRONG,22,Pass,,5 STEP,,,,,VERTS,SILO,Complete,X,6,7,6T3F,OVER,OCHO,,14,,
King's College,D,156,4,12,L,1,10,36,GREEN ZONE,,20,,DOUBLES,RT,,STRONG,22,Pass,,5 STEP,,,,,SHILO,,Incomplete,Z,7,SOLO,6A3B,,DOS,BLAST,0,,
King's College,D,158,4,12,L,3,15,41,UPFIELD,,20,,DOUBLES,RT,,STRONG,22,Pass,,5 STEP,,,,,STIX,J CADDY,Incomplete,Z,4,SOLO,6A3B,WIDE,CUATRO,BLAST,0,,
King's College,D,161,4,12,L,3,15,41,UPFIELD,,20,,DOUBLES,RT,,STRONG,22,Pass,,5 STEP,,,,,SMASH,SLIDE,Interception,J,7,SOLO,6A3B,WIDE,,,0,INT,
King's College,D,166,4,13,L,0,10,-25,UPFIELD,2M,20,,TRIPS,RT,,WEAK,32,Pass,,5 STEP,,,,,SWITCH WHIP,GO,Incomplete,J,1,CLAM,5A2F,OVER,OCHO,,0,,
King's College,D,167,4,13,L,2,10,-25,UPFIELD,2M,20,,TRIPS,RT,,WEAK,32,Pass,,5 STEP,,,,,SMASH,GO,Complete,Z,1,CLAM,6A2F,OVER,TRES,,3,,
King's College,D,168,4,13,R,3,7,-28,UPFIELD,2M,20,,DOUBLES CUT,LT,,WEAK,23,Pass,,5 STEP,,,,,VERT SWITCH,FLO,Incomplete,J,6,SOLO,6T2B,SKID,DOS,BLAST,0,,
King's College,D,169,4,13,R,4,7,-28,UPFIELD,2M,20,,DOUBLES CUT,LT,,WEAK,23,Pass,,5 STEP,,,,,FLO,SWITCH,Incomplete,Z,7,SOLO,6T2B,FAR,DOS,BLAST,0,DOWNS,
King's College,D,179,4,14,M,0,10,-20,UPFIELD,2M,20,,DOUBLES,LT,,STRONG,22,Pass,,ROLL,,L,,,VERT SWITCH,,Incomplete,J,7,2 MAN,5A0B,CAT,,,0,,
